area,Year,Rooms,Location,Floor,Price
87,1400,2,Marzdaran,7,13920000000
98,1397,2,Kooy-e Ferdows,5,10600000000
60,1396,1,Ebrahimabad,1,15600000000
87,1394,2,Plan & Budget Organization,3,9500000000
170,1375,3,Formaneya,2,3.4E+11
61,1395,2,Andisheh (Shahr-e Ziba),0,2650000000
105,1401,2,Heravi,7,14000000000
90,1387,2,Poonak,1,10750000000
67,1383,2,Jannat Abad-e Jonubi,0,6660000000
91,1384,2,Shahrak-e Naft (Zone 5),0,9100000000
88,1380,2,Plan & Budget Organization,2,9590000000
260,1395,4,Qeytarieh,2,3E+11
110,1389,2,Saadat Abad,4,16000000000
160,1395,3,Shahrak-e Rah Ahan,1,14000000000
85,1401,2,Niavaran,9,22600000000
102,1387,2,Qeytarieh,5,13200000000
128,1401,2,Pasdaran,8,15360000000
122,1390,3,Plan & Budget Organization,3,12000000000
80,1396,2,Iran,0,6280000000
73,1401,1,Daryacheh Shahidaye Khalij-e Fars,5,6000000000
182,1385,3,Qeytarieh,4,1.86E+11
96,1392,2,Qoheh,2,12800000000
102,1402,2,Vardevardeh,10,9180000000
94,1396,2,Poonak,5,10000000000
112,1402,2,Shahrak-e Rah Ahan,3,11000000000
150,1401,3,Ghoba,2,2.475E+11
46,1399,1,Makhsoos,0,2500000000
550,1399,4,Zaferanieh,3,1.65E+12
118,1402,2,Shahrak-e Rah Ahan,9,19500000000
72,1395,1,Khani Abad,0,26000000000
117,1402,2,Pasdaran,2,15000000000
54,1398,1,Estad-e Mo'in,1,36000000000
250,1401,3,Valanjak,6,7.5E+11
120,1371,2,Dahkadeh-ye Olympic,2,82000000000
55,1402,1,Bagh-e Feyz,2,77000000000
66,1394,2,Chitgar,2,29000000000
95,1380,2,Police,4,59000000000
100,1385,2,Shahrak-e Rah Ahan,2,82000000000
58,1385,2,Dowlat Abad,4,19900000000
70,1393,2,Erm,5,77500000000
45,1381,1,Salsabil,2,26500000000
100,1401,2,Chitgar,19,19000000000
120,1398,2,Abshar-e Tehran,10,84000000000
74,1402,1,Poonak,8,74000000000
280,1392,3,Imamzadeh Ghasem,0,4.7E+11
86,1399,2,Estad-e Mo'in,4,70000000000
115,1401,2,Shahrak-e Naft (Zone 5),0,1.49E+11
100,1401,2,Chitgar,20,1.75E+11
164,1386,3,Saadat Abad,3,2.2E+11
114,1383,2,Saadat Abad,1,1.23E+11
60,1401,1,Gisha (Kooy-e Nasr),4,12000000000
146,1390,3,Shahran-e Jonubi,5,1.65E+11
103,1401,2,Hossein Abad,4,1.289E+11
132,1401,3,Chitgar,16,1.45E+11
115,1396,2,Saadat Abad,4,2.825E+11
95,1399,2,Shoosh,0,36000000000
140,1401,3,Gisha (Kooy-e Nasr),3,2.25E+11
47,1380,1,Salsabil,3,2.4E+11
270,1395,4,Formaneya,5,4E+12
146,1370,3,Ekbatan,30,1.35E+11
84,1401,2,Estad-e Mo'in,2,52000000000
135,1402,3,Chitgar,30,5.67E+11
53,1382,1,Jeyhoon,1,27450000000
330,1401,4,Eghdasiyeh,2,6.5E+12
90,1398,2,Poonak,3,95400000000
120,1384,3,Pasdaran,3,1.5E+11
62,1392,1,Shahrak-e Azadi,1,46500000000
58,1390,1,Eskandari,0,32000000000
55,1395,1,Soleymani,3,30500000000
60,1398,1,Saadat Abad,1,1.19E+11
156,1402,3, Ferdows Boulevard,3,170000000
75,1402,2,Estad-e Mo'in,2,5350000000
63,1377,1,Jeyhoon,0,35000000000
70,1375,2,Sablān,0,26900000000
60,1386,1,Hashemi,1,39500000000
122,1400,2, Azgel,0,12500000000
98,1399,2, Jannat Abad Markazi,5,12100000000
126,1401,2, Daryacheh Shahidaye Khalij-e Fars,0,9120000000
154,1402,3, Chitgar,18,90000000000
103,1396,2, Vardevardeh,1,5800000000
45,1398,1, Andisheh (Shahr-e Ziba),2,24000000000
70,1391,2, Jannat Abad Jonubi,3,6700000000
51,1390,1, Shahrak-e Darya,0,38200000000
150,1375,3, Yousef Abad,4,16700000000
34,1382,1, Nazīābād,0,24500000000
65,1383,1, Afsarieh,0,35500000000
119,1401,2, Pasdaran,8,1.45E+11
72,1391,2, Masoudieh,3,32500000000
148,1401,3, Marzdaran,5,1.75E+11
52,1402,1, Estad-e Mo'in,4,4200000000
56,1386,2, Sazman-e Barname,1,57500000000
125,1400,3, Marzdaran,5,1.75E+11
67,1382,2, Ferdowsi,3,47000000000
175,1395,3, Heravi,2,1.925E+11
56,1394,1, Yaftabad,0,18400000000
49,1400,1, Beryanak,0,32000000000
115,1387,2, Zaferanieh,4,2.4E+11
166,1395,3, Heravi,2,20000000000
142,1386,3, Heravi,1,1.68E+11
230,1402,3, Darus,4,68000000000
72,1394,2, Niavaran,1,83000000000
57,1385,1, Afsarieh,0,2.93E+11
140,1391,3, Hekimiyeh,5,97000000000
420,1393,4, Formaneya,9,1.05E+12
65,1388,1, Shahrak Rah Ahan,3,60300000000
70,1389,2, Dahkadeh Olympic,2,49600000000
85,1395,2, Gisha (Kooy-e Nasr),0,1.19E+11
177,1385,3, Shahr-e Ziba,1,13500000000
110,1402,2, Ajoodanieh,9,1.54E+11
70,1395,2, Shahrak-e Kianshahr,3,35000000000
110,1394,2, Shahrak Rah Ahan,1,71000000000
50,1394,1, Shahrak-e Kianshahr,3,23900000000
83,1401,2, Shahrak-e Kianshahr,3,41990000000
60,1395,1, Shahrak-e Kianshahr,2,29000000000
61,1393,1, Shahrak-e Kianshahr,5,27450000000
77,1372,2, Shahrak-e Kianshahr,4,26990000000
138,1399,2, Daryache,,
132,1401,3, Pasdaran,5,1850000000
144,1400,3, Zafar,3,2150000000
49,1383,1, Ahang,0,32000000
76,1387,2, Pounak,5,740000000
110,1401,2, Sattarkhan,5,93000000000
78,1394,2, Shahrak Parvaz,3,860000000
94,1399,2, Darband,5,14200000000
85,1401,2, Jannat Abad Markazi,5,1030000000
155,1395,3, Niavaran,3,2250000000
