age,experience_years,education_level,hours_per_week,salary
24,3,3,60,78234
44,13,1,57,102791
37,13,1,27,80394
48,1,3,48,81549
52,27,3,22,154251
38,7,3,58,99897
64,32,3,22,178682
29,2,2,52,61096
61,28,3,46,172919
65,36,1,28,168989
28,4,5,27,98151
56,33,3,38,188433
56,30,1,22,144838
44,5,4,47,100116
31,8,4,27,97909
22,2,5,37,92900
65,44,5,59,265703
28,6,1,55,69187
40,16,3,58,135287
56,15,4,57,146250
62,24,1,25,129399
61,27,4,36,176685
50,11,1,51,89504
36,3,4,24,76436
54,1,2,38,56450
23,0,2,29,40594
43,7,1,44,70377
82,3,2,27,50660
51,19,4,32,141416
32,1,3,31,62169
35,12,5,23,122693
38,1,2,40,57287
45,12,4,40,121893
62,19,3,47,146544
21,0,5,47,85377
31,1,4,28,75605
40,6,2,32,71395
55,8,1,27,71729
48,16,4,24,129793
29,4,4,36,84092
55,33,4,58,207442
61,26,2,43,153693
24,0,3,40,66470
28,8,4,28,100223
62,21,1,54,131026
59,24,3,36,153134
40,5,2,59,84431
63,25,5,36,178170
26,0,3,42,61390
47,10,3,23,92582
30,1,4,26,71901
33,4,3,33,75442
45,4,4,25,82775
48,14,4,56,137251
30,8,5,47,114442
26,1,3,26,55415
41,3,2,53,69174
34,11,5,46,127485
57,27,5,32,191235
22,1,4,41,80636
30,6,3,56,95972
61,10,2,60,106527
54,1,2,32,55113
63,39,2,28,192840
33,12,1,49,84527
22,0,2,55,55369
56,4,5,30,99686
32,9,2,30,79722
22,1,5,24,83501
40,18,5,22,147469
21,0,3,55,71486
27,8,1,57,71505
45,23,5,38,168372
43,11,2,58,98496
49,18,1,60,118768
21,0,2,49,49831
38,6,4,58,110527
49,4,2,49,80647
50,22,2,44,132256
35,8,3,58,107182
21,0,3,58,66509
41,8,5,29,116072
48,23,4,58,166396
62,18,2,52,129779
53,31,1,58,167809
62,9,4,54,125865
23,1,1,25,32810
42,11,3,55,115069
29,8,2,56,82538
51,14,4,27,121480
41,17,2,48,116196
60,40,5,48,243947
65,25,2,43,151647
32,10,3,30,92097
58,12,4,42,126661
53,24,1,57,134721
42,19,4,34,139777
56,30,2,42,165202
40,2,1,32,43240
40,15,2,46,105239
34,0,3,20,52496
32,7,5,47,118029
63,9,5,40,129285
41,2,4,30,77804
38,1,5,58,104131
39,10,2,56,102196
58,26,3,28,162019
46,15,2,44,110272
90,1,1,26,43186
49,9,3,23,95691
64,17,3,47,138908
30,4,2,39,61595
39,4,3,46,81893
47,2,5,41,98336
27,4,4,48,88807
25,0,5,35,83483
48,7,2,24,72125
33,10,3,41,99196
28,5,2,23,57711
27,1,2,34,55119
29,0,2,34,47535
63,7,2,30,76591
40,6,5,38,112463
47,19,1,58,123522
55,6,4,34,98041
24,1,1,53,47636
21,0,2,25,46346
64,31,5,43,211374
30,1,3,21,59070
57,28,2,43,161096
29,7,5,53,121554
65,33,5,54,225330
29,3,4,39,88960
41,16,3,47,126040
46,8,1,30,71865
57,17,4,29,134281
44,12,4,44,120214
35,0,5,42,86520
39,7,5,56,121691
24,0,2,31,48461
36,9,4,40,110865
35,4,3,50,85534
32,4,5,43,105154
26,1,2,43,52240
54,23,4,23,158639
35,6,2,38,72249
64,8,5,32,125597
35,7,3,59,102612
58,6,3,32,87195
49,18,4,25,133848
33,1,2,46,62879
38,8,4,20,99720
53,19,5,34,157955
46,21,2,22,123876
46,5,1,27,51014
61,13,2,54,114972
40,21,1,20,110240
28,2,5,20,85014
60,23,3,36,149452
25,1,5,53,99392
49,7,1,26,65790
28,0,3,54,71591
46,24,2,39,142242
46,20,1,40,110892
49,27,2,51,155851
31,10,5,24,115143
35,5,4,20,86985
50,31,4,22,183433
31,7,2,47,82309
38,4,1,51,59065
23,5,3,59,84680
36,14,5,20,125660
48,4,2,25,64069
25,0,2,39,45747
27,7,2,47,78299
35,9,3,55,100948
64,2,3,26,77604
61,10,2,54,105731
44,10,4,42,112211
43,21,4,26,147405
39,5,4,31,92875
31,6,4,52,107984
48,22,4,58,171811
41,4,3,26,72828
35,11,2,52,99039
59,26,4,26,164176
47,27,2,36,147446
33,8,5,37,112349
45,13,2,57,110666
62,10,3,49,110523
26,7,1,41,62844
22,0,1,38,34745
47,14,3,46,116820
55,30,3,31,172325
47,9,5,53,126502
64,15,2,47,118022
47,15,4,24,120778
45,19,2,21,110827
41,1,5,38,93808
23,0,3,44,66443
30,6,1,32,55924
36,5,5,41,110346
41,20,3,47,140799
28,2,3,38,65317
53,5,1,40,67283
65,9,1,72,93447
52,25,4,35,172292
25,0,5,55,92970
41,5,3,29,74159
22,0,2,30,40492
30,0,3,41,65347
37,12,2,60,106390
65,35,4,21,195257
65,26,1,31,133236
29,9,3,29,84941
41,16,4,44,135476
25,2,5,35,95146
32,6,5,50,110902
48,9,2,31,80931
56,3,5,41,105372
50,5,4,40,97321
37,0,5,21,84255
38,7,3,58,97174
22,0,4,45,73716
54,15,5,24,143461
52,22,1,50,127373
61,38,3,47,210165
21,0,2,22,43697
43,12,2,27,93925
63,13,3,49,128422
34,7,5,54,123904
30,9,3,30,89846
22,0,5,41,84100
49,5,4,51,107551
34,6,5,22,101368
44,5,1,54,67809
42,17,5,48,156737
34,3,5,39,100437
24,3,4,30,81183
45,6,5,20,99664
43,20,3,52,145502
51,8,4,40,113847
28,1,4,60,87259
64,30,5,31,201751
51,2,2,38,67445
57,34,2,45,185027
64,45,5,28,248460
58,18,3,35,132886
21,0,4,45,76862
38,2,4,50,85417
58,27,2,55,165220
33,6,1,52,70003
38,17,1,37,102511
29,3,2,37,56798
58,18,1,46,112571
39,8,2,23,76517
42,13,3,53,124189
22,0,5,33,79792
26,2,3,47,74565
65,37,2,39,187987
41,2,4,27,76127
27,1,4,32,78534
28,2,1,49,48061
60,25,2,48,150560
29,5,4,40,95929
33,10,1,34,68238
24,1,2,29,46069
42,8,1,43,69402
40,12,1,56,96368
60,24,1,50,133361
58,15,4,47,138671
36,12,1,43,80089
48,25,3,55,165365
58,6,3,44,92495
51,5,4,24,94555
35,5,4,59,99464
48,7,1,51,72431
48,16,5,40,149241
29,8,5,36,117909
49,19,2,22,118151
48,8,3,48,102618
51,13,1,51,94150
40,18,4,30,133293
57,22,3,35,143785
61,29,4,26,177364
65,33,1,47,171195
27,4,5,27,99013
56,5,5,23,106817
43,1,2,38,54394
35,3,3,25,71024
46,20,2,37,122361
43,20,3,36,136179
26,4,4,56,94593
33,10,5,28,117776
33,11,1,55,83918
46,16,3,54,131798
29,4,1,24,43706
56,28,3,31,164227
46,2,2,56,68220
40,2,5,47,101644
47,10,3,48,111099
51,4,5,58,120446
53,6,5,27,113133
